geo_value,time_value,full_time_work_prop
mi,2019-12-29,0.025766079726438
mn,2019-12-29,0.030483630362278
mo,2019-12-29,0.030624410990761
mp,2019-12-29,0.06557079741145
ms,2019-12-29,0.028192486284065
mt,2019-12-29,0.031840003383263
nc,2019-12-29,0.020158555382995
nd,2019-12-29,0.029337797906189
ne,2019-12-29,0.028322196143302
nh,2019-12-29,0.024503843215468
nj,2019-12-29,0.023221972793282
nm,2019-12-29,0.030891410510342
nv,2019-12-29,0.024458631977456
ny,2019-12-29,0.027024775975198
oh,2019-12-29,0.025804057572321
ok,2019-12-29,0.028038560948824
or,2019-12-29,0.025336099742507
pa,2019-12-29,0.027895485443673
pr,2019-12-29,0.053523963062739
ri,2019-12-29,0.0291883006017
sc,2019-12-29,0.021935664857997
sd,2019-12-29,0.028323134153488
tn,2019-12-29,0.023866843011595
tx,2019-12-29,0.024349642783334
ut,2019-12-29,0.021490775497559
va,2019-12-29,0.020362526395453
vi,2019-12-29,0.057728322489603
vt,2019-12-29,0.028471673803054
wa,2019-12-29,0.019940512538609
wi,2019-12-29,0.026146212442327
wv,2019-12-29,0.024249817596833
wy,2019-12-29,0.022113573437824
ak,2019-12-30,0.062690718079908
al,2019-12-30,0.058608563456672
ar,2019-12-30,0.064762803911446
as,2019-12-30,0.12169312169312
az,2019-12-30,0.065864080063349
ca,2019-12-30,0.041924400249058
co,2019-12-30,0.046742094383075
ct,2019-12-30,0.044403068552802
dc,2019-12-30,0.039577464290273
de,2019-12-30,0.046269567991688
fl,2019-12-30,0.044588275974126
ga,2019-12-30,0.0427603888574
gu,2019-12-30,0.07021643231232
hi,2019-12-30,0.028251379369516
ia,2019-12-30,0.06124292681669
id,2019-12-30,0.047883949250834
il,2019-12-30,0.054552198598181
in,2019-12-30,0.04362793663893
ks,2019-12-30,0.057313699938426
ky,2019-12-30,0.04620895079868
la,2019-12-30,0.056196707656945
ma,2019-12-30,0.04824263819725
md,2019-12-30,0.048523669507108
me,2019-12-30,0.050397112860011
mi,2019-12-30,0.042138010283328
mn,2019-12-30,0.056977453395822
mo,2019-12-30,0.057668717845903
mp,2019-12-30,0.068657347133111
ms,2019-12-30,0.048331440786277
mt,2019-12-30,0.048080739054852
nc,2019-12-30,0.039030444599866
nd,2019-12-30,0.044141344866269
ne,2019-12-30,0.05723507660039
nh,2019-12-30,0.044512720907016
nj,2019-12-30,0.045223942407618
nm,2019-12-30,0.038267121332943
nv,2019-12-30,0.037258618315725
ny,2019-12-30,0.043642413208162
oh,2019-12-30,0.044517626376723
ok,2019-12-30,0.053740506758967
or,2019-12-30,0.040203313655772
pa,2019-12-30,0.047153079835551
pr,2019-12-30,0.06046480439837
ri,2019-12-30,0.046502258524659
sc,2019-12-30,0.040692591853353
sd,2019-12-30,0.048377879768755
tn,2019-12-30,0.047604799513509
tx,2019-12-30,0.050188845855568
ut,2019-12-30,0.048213961147042
va,2019-12-30,0.042077204388153
vi,2019-12-30,0.058360218043869
vt,2019-12-30,0.046924815133021
wa,2019-12-30,0.038312342851319
wi,2019-12-30,0.058395181626058
wv,2019-12-30,0.044003312161937
wy,2019-12-30,0.040138928514599
ak,2019-12-31,0.03350183075821
al,2019-12-31,0.039087007308694
ar,2019-12-31,0.041342802815401
az,2019-12-31,0.031082725386971
ca,2019-12-31,0.030874605886993
co,2019-12-31,0.041961377412257
ct,2019-12-31,0.039840286438911
dc,2019-12-31,0.038276750780696
de,2019-12-31,0.042744102678025
fl,2019-12-31,0.034800060092877
ga,2019-12-31,0.033176236007461
gu,2019-12-31,0.064687880533184
hi,2019-12-31,0.020321179255512
ia,2019-12-31,0.049534276803687
id,2019-12-31,0.039907858065767
il,2019-12-31,0.044020414828951
in,2019-12-31,0.038177912177234
ks,2019-12-31,0.048329489583957
ky,2019-12-31,0.037425725592094
la,2019-12-31,0.040501032852004
ma,2019-12-31,0.036972722042544
md,2019-12-31,0.035584640069677
me,2019-12-31,0.038247216041171
mi,2019-12-31,0.031276011384397
mn,2019-12-31,0.048114615589891
mo,2019-12-31,0.048879708059305
mp,2019-12-31,0.075949856273335
ms,2019-12-31,0.041666898673912
mt,2019-12-31,0.048073777218287
nc,2019-12-31,0.038098054194575
nd,2019-12-31,0.049055996374147
ne,2019-12-31,0.051298440818528
nh,2019-12-31,0.045912181764548
nj,2019-12-31,0.04047639228828
nm,2019-12-31,0.040103882366112
nv,2019-12-31,0.034893534376984
ny,2019-12-31,0.043281424482616
oh,2019-12-31,0.036540753793082
ok,2019-12-31,0.04670421185
or,2019-12-31,0.034358841799076
pa,2019-12-31,0.038446362952904
pr,2019-12-31,0.0938583495889
ri,2019-12-31,0.043590775182414
sc,2019-12-31,0.037441536489273
sd,2019-12-31,0.052457456848774
tn,2019-12-31,0.042425987800055
tx,2019-12-31,0.043964865226809
ut,2019-12-31,0.043155193482393
va,2019-12-31,0.040314755448472
vi,2019-12-31,0.096118901702767
vt,2019-12-31,0.048128395995201
wa,2019-12-31,0.036631920939726
wi,2019-12-31,0.049430751043052
wv,2019-12-31,0.040663926976104
wy,2019-12-31,0.039166516548263
ak,2020-01-01,0.03600132533306
al,2020-01-01,0.026814395307074
ar,2020-01-01,0.030089479755962
as,2020-01-01,0.13306502525253
az,2020-01-01,0.02706913343211
ca,2020-01-01,0.030342829684499
co,2020-01-01,0.027418382673906
ct,2020-01-01,0.023855853960059
dc,2020-01-01,0.027180672705007
de,2020-01-01,0.022986367301009
fl,2020-01-01,0.018246058325501
ga,2020-01-01,0.0153442323398
gu,2020-01-01,0.1289745328391
hi,2020-01-01,0.017565848333415
ia,2020-01-01,0.025157154963255
id,2020-01-01,0.019029327690766
il,2020-01-01,0.023194346910752
in,2020-01-01,0.021116369359042
ks,2020-01-01,0.026043757352762
ky,2020-01-01,0.023613499889977
la,2020-01-01,0.030395033604602
ma,2020-01-01,0.027463108215147
md,2020-01-01,0.023376144734567
me,2020-01-01,0.030240901699121
mi,2020-01-01,0.023378832231192
mn,2020-01-01,0.026178408793669
mo,2020-01-01,0.025058535562438
mp,2020-01-01,0.10079402999762
ms,2020-01-01,0.025560371736109
mt,2020-01-01,0.027225100321386
nc,2020-01-01,0.018189877444405
nd,2020-01-01,0.02604339939065
ne,2020-01-01,0.0239257542577
nh,2020-01-01,0.021037641305513
nj,2020-01-01,0.019719615142489
nm,2020-01-01,0.026838260563981
nv,2020-01-01,0.019964253683123
ny,2020-01-01,0.024299798376122
oh,2020-01-01,0.021026728724296
ok,2020-01-01,0.024959399973819
or,2020-01-01,0.020884755853219
pa,2020-01-01,0.024209114783249
pr,2020-01-01,0.061785146876275
ri,2020-01-01,0.028267268999629
sc,2020-01-01,0.020999642175668
sd,2020-01-01,0.029837972287478
tn,2020-01-01,0.02586726024026
tx,2020-01-01,0.026369974400405
ut,2020-01-01,0.024387404069913
va,2020-01-01,0.024434952493377
vi,2020-01-01,0.05910109843222
vt,2020-01-01,0.036269662619465
wa,2020-01-01,0.022494665543154
wi,2020-01-01,0.028508354452259
wv,2020-01-01,0.027875958423441
wy,2020-01-01,0.025368831011004
ak,2020-01-02,0.046492108597229
al,2020-01-02,0.070964223021517
ar,2020-01-02,0.056347901303099
as,2020-01-02,0.13196576151122
az,2020-01-02,0.050399520763468
ca,2020-01-02,0.044629874939462
co,2020-01-02,0.060031817728311
ct,2020-01-02,0.099310464917101
dc,2020-01-02,0.061525130086588
de,2020-01-02,0.066942785978434
fl,2020-01-02,0.049733071353779
ga,2020-01-02,0.04927456734376
gu,2020-01-02,0.081575204505547
hi,2020-01-02,0.028554815667668
ia,2020-01-02,0.097160920745553
id,2020-01-02,0.053695016001625
il,2020-01-02,0.071231456461244
in,2020-01-02,0.054082257644124
ks,2020-01-02,0.067480903394668
ky,2020-01-02,0.062892922771826
la,2020-01-02,0.067413510836693
ma,2020-01-02,0.096388281147166
md,2020-01-02,0.091136342534886
me,2020-01-02,0.094003269682408
mi,2020-01-02,0.059790315166979
mn,2020-01-02,0.099602908743642
mo,2020-01-02,0.070413497435091
mp,2020-01-02,0.088792064338371
ms,2020-01-02,0.061164453189512
mt,2020-01-02,0.067656859908964
nc,2020-01-02,0.055117054644723
nd,2020-01-02,0.10977295689154
ne,2020-01-02,0.069060352326798
nh,2020-01-02,0.098270122464262
nj,2020-01-02,0.10331016085093
nm,2020-01-02,0.045288335681079
nv,2020-01-02,0.043626221426518
ny,2020-01-02,0.07871726457891
oh,2020-01-02,0.060045870060182
ok,2020-01-02,0.063292153642147
or,2020-01-02,0.046929959531626
pa,2020-01-02,0.088699231777095
pr,2020-01-02,0.074413762932639
ri,2020-01-02,0.082460313600791
sc,2020-01-02,0.049874357344397
sd,2020-01-02,0.084715968424864
tn,2020-01-02,0.06133716045093
tx,2020-01-02,0.0620808914586
ut,2020-01-02,0.07026362920333
va,2020-01-02,0.0634446138236
vi,2020-01-02,0.086124946060295
vt,2020-01-02,0.088594572265098
wa,2020-01-02,0.05194732004916
wi,2020-01-02,0.11429499345359
wv,2020-01-02,0.068885098715109
wy,2020-01-02,0.061219047644393
ak,2020-01-03,0.033751903812902
al,2020-01-03,0.042246127172508
ar,2020-01-03,0.051628913957015
as,2020-01-03,0.14436951936952
az,2020-01-03,0.041021738873713
ca,2020-01-03,0.046710611715037
co,2020-01-03,0.051559599704431
ct,2020-01-03,0.094738447362307
dc,2020-01-03,0.058356662835896
de,2020-01-03,0.061998798246157
fl,2020-01-03,0.046997348733592
ga,2020-01-03,0.044731391131001
gu,2020-01-03,0.066986250496901
hi,2020-01-03,0.023394095226239
ia,2020-01-03,0.090460620373504
id,2020-01-03,0.044285345626611
il,2020-01-03,0.061738644494206
in,2020-01-03,0.047653566714121
ks,2020-01-03,0.056188358853632
ky,2020-01-03,0.052095327968323
la,2020-01-03,0.055767053397231
ma,2020-01-03,0.082839053699858
md,2020-01-03,0.079327141764102
me,2020-01-03,0.078911915371727
mi,2020-01-03,0.052712120062044
mn,2020-01-03,0.086713016191699
mo,2020-01-03,0.064255252250695
mp,2020-01-03,0.086276072407052
ms,2020-01-03,0.052330361146837
mt,2020-01-03,0.060765589293395
nc,2020-01-03,0.050011194472076
nd,2020-01-03,0.098794839738023
ne,2020-01-03,0.062967679318261
nh,2020-01-03,0.090829701114574
nj,2020-01-03,0.097092764281905
nm,2020-01-03,0.045322967824997
nv,2020-01-03,0.03919507793216
ny,2020-01-03,0.075265522954497
oh,2020-01-03,0.054717006844022
ok,2020-01-03,0.058365592306751
or,2020-01-03,0.042929374559646
pa,2020-01-03,0.083252791749376
pr,2020-01-03,0.073582410067463
ri,2020-01-03,0.079497737331673
sc,2020-01-03,0.046484670782456
sd,2020-01-03,0.074593380002364
tn,2020-01-03,0.05571448371889
tx,2020-01-03,0.056476188313019
ut,2020-01-03,0.057707187655564
va,2020-01-03,0.053982063166864
vi,2020-01-03,0.069915878906812
vt,2020-01-03,0.078947355096633
wa,2020-01-03,0.042675962487316
wi,2020-01-03,0.10024735220909
wv,2020-01-03,0.061918057890155
wy,2020-01-03,0.049160103699397
ak,2020-01-04,0.041389934872798
al,2020-01-04,0.027521720151505
ar,2020-01-04,0.029543456747316
as,2020-01-04,0.12844516594517
az,2020-01-04,0.032661576165599
ca,2020-01-04,0.027929150605824
co,2020-01-04,0.035364914820721
ct,2020-01-04,0.034238982183154
dc,2020-01-04,0.034402917062866
de,2020-01-04,0.033764163149357
fl,2020-01-04,0.027986824076364
ga,2020-01-04,0.02454879577379
gu,2020-01-04,0.058976186917945
hi,2020-01-04,0.022366017190411
ia,2020-01-04,0.037046256857114
id,2020-01-04,0.028605367585633
il,2020-01-04,0.03577147126113
in,2020-01-04,0.029271157684953
ks,2020-01-04,0.036769943383484
ky,2020-01-04,0.030360391921894
la,2020-01-04,0.037946784016128
ma,2020-01-04,0.033216906545505
md,2020-01-04,0.028752872537299
me,2020-01-04,0.035060786202511
mi,2020-01-04,0.031166740266777
mn,2020-01-04,0.037616106069219
mo,2020-01-04,0.035880505237244
mp,2020-01-04,0.068221038623833
ms,2020-01-04,0.031748009853331
mt,2020-01-04,0.036460613083586
nc,2020-01-04,0.024902321915385
nd,2020-01-04,0.037090996089304
ne,2020-01-04,0.034647366927806
nh,2020-01-04,0.027784350409883
nj,2020-01-04,0.027447182795967
nm,2020-01-04,0.033518410058451
nv,2020-01-04,0.026382631753531
ny,2020-01-04,0.03141063700649
oh,2020-01-04,0.029000736361496
ok,2020-01-04,0.034518598266429
or,2020-01-04,0.026562843250648
pa,2020-01-04,0.029201551440572
pr,2020-01-04,0.060357983797305
ri,2020-01-04,0.031231697577754
sc,2020-01-04,0.024438696071381
sd,2020-01-04,0.037115001807114
tn,2020-01-04,0.029138251059089
tx,2020-01-04,0.031805393418732
ut,2020-01-04,0.026950818232929
va,2020-01-04,0.024826631611918
vi,2020-01-04,0.06194878322553
vt,2020-01-04,0.033736874883417
wa,2020-01-04,0.023890718141129
wi,2020-01-04,0.033709739610047
wv,2020-01-04,0.028054045043225
wy,2020-01-04,0.027649609181524
ak,2020-01-05,0.030500115641147
al,2020-01-05,0.031162732341594
ar,2020-01-05,0.026275909373597
as,2020-01-05,0.12868797868798
az,2020-01-05,0.02658296606364
ca,2020-01-05,0.029075564809687
co,2020-01-05,0.026334635849359
ct,2020-01-05,0.024259252129506
dc,2020-01-05,0.029941588918618
de,2020-01-05,0.024584827372667
fl,2020-01-05,0.022688223895958
ga,2020-01-05,0.01958602679164
gu,2020-01-05,0.059905621769502
hi,2020-01-05,0.020874943749529
ia,2020-01-05,0.032921190124341
id,2020-01-05,0.025647250012803
il,2020-01-05,0.033165540374382
in,2020-01-05,0.026031473314024
ks,2020-01-05,0.030788882331313
ky,2020-01-05,0.024658816496331
la,2020-01-05,0.032988777293125
ma,2020-01-05,0.028388634553681
md,2020-01-05,0.024587138454053
me,2020-01-05,0.031783794297346
mi,2020-01-05,0.025790845626456
mn,2020-01-05,0.031208760968363
mo,2020-01-05,0.029528803234304
mp,2020-01-05,0.072908611910348
ms,2020-01-05,0.026366521172903
mt,2020-01-05,0.031957833383918
nc,2020-01-05,0.018795125510183
nd,2020-01-05,0.027537678410305
ne,2020-01-05,0.026386499946276
nh,2020-01-05,0.023763876048906
nj,2020-01-05,0.023571102672095
nm,2020-01-05,0.03033172225242
nv,2020-01-05,0.024049283349768
ny,2020-01-05,0.027286255903747
oh,2020-01-05,0.022580619151881
ok,2020-01-05,0.024932684594951
or,2020-01-05,0.022255405330843
pa,2020-01-05,0.02584084106415
pr,2020-01-05,0.0577468977401
ri,2020-01-05,0.029413926055356
sc,2020-01-05,0.021003837214738
sd,2020-01-05,0.030752867274519
tn,2020-01-05,0.024123618543125
tx,2020-01-05,0.025683976243953
ut,2020-01-05,0.022209844933137
va,2020-01-05,0.022372208740824
vi,2020-01-05,0.069719999253313
vt,2020-01-05,0.033855925172098
wa,2020-01-05,0.021503102424879
wi,2020-01-05,0.030319478252213
wv,2020-01-05,0.026632753887323
wy,2020-01-05,0.025392342597672
ak,2020-01-06,0.056513537479325
al,2020-01-06,0.099074594920952
ar,2020-01-06,0.081849461530705
as,2020-01-06,0.1361584269193
az,2020-01-06,0.069559816710588
ca,2020-01-06,0.063358524078655
co,2020-01-06,0.079626833075759
ct,2020-01-06,0.11700280223308
dc,2020-01-06,0.091576188067283
de,2020-01-06,0.10249199264487
fl,2020-01-06,0.0753178605904
ga,2020-01-06,0.076692216599904
gu,2020-01-06,0.091728095660618
hi,2020-01-06,0.032286082658022
ia,2020-01-06,0.13825598071409
id,2020-01-06,0.082589588987195
il,2020-01-06,0.11242621846846
in,2020-01-06,0.088112767167026
ks,2020-01-06,0.10254720124608
