geo_value,time_value,percent_covid_visits
il,2020-02-17,0.002335
in,2020-02-17,0.002145
ks,2020-02-17,0.009935
ky,2020-02-17,0.002138
la,2020-02-17,0.00214
ma,2020-02-17,0.001792
md,2020-02-17,0.001507
me,2020-02-17,0.003789
mi,2020-02-17,0.001796
mn,2020-02-17,0.002355
mo,2020-02-17,0.003621
ms,2020-02-17,0.00403
mt,2020-02-17,0.013609
nc,2020-02-17,0.001785
nd,2020-02-17,0.019268
ne,2020-02-17,0.004584
nh,2020-02-17,0.008727
nj,2020-02-17,0.002601
nm,2020-02-17,0.005632
nv,2020-02-17,0.00326
ny,2020-02-17,0.006341
oh,2020-02-17,0.001123
ok,2020-02-17,0.002343
or,2020-02-17,0.003656
pa,2020-02-17,0.00093
pr,2020-02-17,0.008424
ri,2020-02-17,0.007548
sc,2020-02-17,0.001741
sd,2020-02-17,0.011523
tn,2020-02-17,0.003238
tx,2020-02-17,0.001106
ut,2020-02-17,0.005774
va,2020-02-17,0.00138
vt,2020-02-17,0.017169
wa,2020-02-17,0.001393
wi,2020-02-17,0.002296
wv,2020-02-17,0.005609
wy,2020-02-17,0.028137
ak,2020-02-18,0.027193
al,2020-02-18,0.002162
ar,2020-02-18,0.0035
az,2020-02-18,0.00123
ca,2020-02-18,0.00132
co,2020-02-18,0.010115
ct,2020-02-18,0.00326
dc,2020-02-18,0.009473
de,2020-02-18,0.005793
fl,2020-02-18,0.002421
ga,2020-02-18,0.001477
hi,2020-02-18,0.012773
ia,2020-02-18,0.001401
id,2020-02-18,0.016849
il,2020-02-18,0.001941
in,2020-02-18,0.001703
ks,2020-02-18,0.00941
ky,2020-02-18,0.001738
la,2020-02-18,0.002252
ma,2020-02-18,0.001804
md,2020-02-18,0.001636
me,2020-02-18,0.00379
mi,2020-02-18,0.001314
mn,2020-02-18,0.001881
mo,2020-02-18,0.002689
ms,2020-02-18,0.00345
mt,2020-02-18,0.011854
nc,2020-02-18,0.001432
nd,2020-02-18,0.016047
ne,2020-02-18,0.003546
nh,2020-02-18,0.007665
nj,2020-02-18,0.002513
nm,2020-02-18,0.005227
nv,2020-02-18,0.003178
ny,2020-02-18,0.00563
oh,2020-02-18,0.000964
ok,2020-02-18,0.002044
or,2020-02-18,0.003829
pa,2020-02-18,0.000665
pr,2020-02-18,0.009076
ri,2020-02-18,0.007997
sc,2020-02-18,0.001539
sd,2020-02-18,0.009702
tn,2020-02-18,0.002189
tx,2020-02-18,0.001324
ut,2020-02-18,0.005583
va,2020-02-18,0.001169
vt,2020-02-18,0.014346
wa,2020-02-18,0.00197
wi,2020-02-18,0.001816
wv,2020-02-18,0.006746
wy,2020-02-18,0.025552
ak,2020-02-19,0.02423
al,2020-02-19,0.001942
ar,2020-02-19,0.003086
az,2020-02-19,0.000958
ca,2020-02-19,0.001577
