geo_value,time_value,fb_illness
nj,2020-04-17,0.9056786
nm,2020-04-17,0.4111376
nv,2020-04-17,0.9931412
ny,2020-04-17,1.0081319
oh,2020-04-17,0.7756878
ok,2020-04-17,0.7161675
or,2020-04-17,0.8956127
pa,2020-04-17,0.6134633
ri,2020-04-17,0.6326591
sc,2020-04-17,0.4878454
sd,2020-04-17,0.6636824
tn,2020-04-17,0.5744772
tx,2020-04-17,0.8009213
ut,2020-04-17,1.7525677
va,2020-04-17,0.6390471
vt,2020-04-17,0.524416
wa,2020-04-17,0.642671
wi,2020-04-17,0.8290136
wv,2020-04-17,0.5466298
wy,2020-04-17,0.6297309
ak,2020-04-18,0.7674456
al,2020-04-18,0.710394
ar,2020-04-18,0.7212776
az,2020-04-18,0.8408191
ca,2020-04-18,0.5625118
co,2020-04-18,1.0041003
ct,2020-04-18,1.0903202
dc,2020-04-18,0.3223535
de,2020-04-18,0.8123577
fl,2020-04-18,0.6362117
ga,2020-04-18,0.4718257
hi,2020-04-18,0.3025715
ia,2020-04-18,1.2621077
id,2020-04-18,0.8156431
il,2020-04-18,0.7022809
in,2020-04-18,0.7044334
ks,2020-04-18,0.5853231
ky,2020-04-18,0.9501823
la,2020-04-18,0.9240706
ma,2020-04-18,0.7617495
md,2020-04-18,0.4387902
me,2020-04-18,0.4008883
mi,2020-04-18,0.7558951
mn,2020-04-18,0.5722457
mo,2020-04-18,0.7121223
ms,2020-04-18,0.6421742
mt,2020-04-18,0.5889753
nc,2020-04-18,0.5060951
nd,2020-04-18,0.6517511
ne,2020-04-18,0.5694936
nh,2020-04-18,0.5128264
nj,2020-04-18,0.8451229
nm,2020-04-18,0.5030768
nv,2020-04-18,1.0474393
ny,2020-04-18,0.9617193
oh,2020-04-18,0.8533346
ok,2020-04-18,0.6599135
or,2020-04-18,0.9096032
pa,2020-04-18,0.6162039
ri,2020-04-18,0.4951861
sc,2020-04-18,0.4238283
sd,2020-04-18,0.8959404
tn,2020-04-18,0.55656
tx,2020-04-18,0.7546571
ut,2020-04-18,1.6832449
va,2020-04-18,0.6812432
vt,2020-04-18,0.3115498
wa,2020-04-18,0.5859777
wi,2020-04-18,0.8496623
wv,2020-04-18,0.5232405
wy,2020-04-18,0.514998
ak,2020-04-19,0.6755051
al,2020-04-19,0.8134335
ar,2020-04-19,0.8428107
az,2020-04-19,0.736208
ca,2020-04-19,0.5911409
co,2020-04-19,0.9158301
ct,2020-04-19,0.8394855
dc,2020-04-19,0.2851781
de,2020-04-19,0.9891784
fl,2020-04-19,0.6752092
ga,2020-04-19,0.5407301
hi,2020-04-19,0.3347872
ia,2020-04-19,1.1291804
id,2020-04-19,0.9121898
il,2020-04-19,0.667482
in,2020-04-19,0.6911478
ks,2020-04-19,0.3913598
ky,2020-04-19,0.6782617
la,2020-04-19,0.8558326
ma,2020-04-19,0.6714551
md,2020-04-19,0.4112762
me,2020-04-19,0.5487205
mi,2020-04-19,0.6117617
mn,2020-04-19,0.6706853
mo,2020-04-19,0.6510662
ms,2020-04-19,0.5446229
mt,2020-04-19,0.6074405
nc,2020-04-19,0.542479
nd,2020-04-19,0.6171622
ne,2020-04-19,0.7752038
nh,2020-04-19,0.5911276
nj,2020-04-19,0.8060611
nm,2020-04-19,0.7113891
nv,2020-04-19,0.9775265
ny,2020-04-19,0.9610413
oh,2020-04-19,0.7990595
ok,2020-04-19,0.6476065
or,2020-04-19,0.9031013
pa,2020-04-19,0.5344437
ri,2020-04-19,0.3990844
sc,2020-04-19,0.4563037
sd,2020-04-19,0.9902196
tn,2020-04-19,0.6064912
tx,2020-04-19,0.6464167
ut,2020-04-19,0.7145081
va,2020-04-19,0.5691699
vt,2020-04-19,0.2927516
wa,2020-04-19,0.5086751
