geo_value,time_value,covid_admissions
ky,2020-02-16,0.328679
la,2020-02-16,0.062677
ma,2020-02-16,0.086963
md,2020-02-16,0.085822
me,2020-02-16,0.19511
mi,2020-02-16,0.079438
mn,2020-02-16,0.094333
mo,2020-02-16,0.068242
ms,2020-02-16,0.073975
nc,2020-02-16,0.060155
ne,2020-02-16,0.091062
nh,2020-02-16,0.100695
nj,2020-02-16,0.197887
nm,2020-02-16,0.120607
nv,2020-02-16,0.089714
ny,2020-02-16,0.027513
oh,2020-02-16,0.083206
ok,2020-02-16,0.074756
or,2020-02-16,0.092686
pa,2020-02-16,0.114663
ri,2020-02-16,0.098197
sc,2020-02-16,0.057945
tn,2020-02-16,0.073516
tx,2020-02-16,0.020462
ut,2020-02-16,0.092794
va,2020-02-16,0.081548
vt,2020-02-16,0.235775
wa,2020-02-16,0.067039
wi,2020-02-16,0.061615
wv,2020-02-16,0.097154
al,2020-02-17,0.079626
ar,2020-02-17,0.08107
az,2020-02-17,0.123586
ca,2020-02-17,0.061693
co,2020-02-17,0.062233
ct,2020-02-17,0.063734
dc,2020-02-17,0.142198
de,2020-02-17,0.273913
fl,2020-02-17,0.022961
ga,2020-02-17,0.132773
hi,2020-02-17,0.128507
ia,2020-02-17,0.084579
id,2020-02-17,0.19988
il,2020-02-17,0.076846
in,2020-02-17,0.080301
ks,2020-02-17,0.083235
ky,2020-02-17,0.25225
la,2020-02-17,0.060285
ma,2020-02-17,0.089316
md,2020-02-17,0.079152
me,2020-02-17,0.202896
mi,2020-02-17,0.077914
mn,2020-02-17,0.093553
mo,2020-02-17,0.06479
ms,2020-02-17,0.071147
nc,2020-02-17,0.062186
ne,2020-02-17,0.091598
nh,2020-02-17,0.103098
nj,2020-02-17,0.16926
nm,2020-02-17,0.101903
nv,2020-02-17,0.088625
ny,2020-02-17,0.029499
oh,2020-02-17,0.080677
ok,2020-02-17,0.078733
or,2020-02-17,0.090627
pa,2020-02-17,0.110855
ri,2020-02-17,0.099329
sc,2020-02-17,0.059075
tn,2020-02-17,0.069124
tx,2020-02-17,0.021756
ut,2020-02-17,0.094754
va,2020-02-17,0.150248
vt,2020-02-17,0.23595
wa,2020-02-17,0.06885
wi,2020-02-17,0.062491
wv,2020-02-17,0.098501
al,2020-02-18,0.079722
ar,2020-02-18,0.082584
az,2020-02-18,0.099862
ca,2020-02-18,0.057818
co,2020-02-18,0.064844
ct,2020-02-18,0.063615
dc,2020-02-18,0.139955
de,2020-02-18,0.271834
fl,2020-02-18,0.021906
ga,2020-02-18,0.111832
hi,2020-02-18,0.126973
ia,2020-02-18,0.08406
id,2020-02-18,0.206608
il,2020-02-18,0.07468
in,2020-02-18,0.083178
ks,2020-02-18,0.085988
ky,2020-02-18,0.228535
la,2020-02-18,0.05895
ma,2020-02-18,0.091266
md,2020-02-18,0.081842
me,2020-02-18,0.210181
mi,2020-02-18,0.081453
mn,2020-02-18,0.092868
mo,2020-02-18,0.067235
ms,2020-02-18,0.075257
nc,2020-02-18,0.078656
ne,2020-02-18,0.091308
nh,2020-02-18,0.104438
nj,2020-02-18,0.156721
nm,2020-02-18,0.087212
nv,2020-02-18,0.087176
ny,2020-02-18,0.039323
oh,2020-02-18,0.067473
ok,2020-02-18,0.08065
or,2020-02-18,0.090263
pa,2020-02-18,0.097038
ri,2020-02-18,0.098675
sc,2020-02-18,0.065037
tn,2020-02-18,0.069627
tx,2020-02-18,0.020283
ut,2020-02-18,0.09354
va,2020-02-18,0.141096
vt,2020-02-18,0.232893
wa,2020-02-18,0.069494
wi,2020-02-18,0.064791
wv,2020-02-18,0.098848
al,2020-02-19,0.074364
ar,2020-02-19,0.086909
az,2020-02-19,0.079476
ca,2020-02-19,0.052843
co,2020-02-19,0.063158
ct,2020-02-19,0.061126
dc,2020-02-19,0.136989
de,2020-02-19,0.268773
fl,2020-02-19,0.021193
ga,2020-02-19,0.093774
hi,2020-02-19,0.123493
ia,2020-02-19,0.082673
id,2020-02-19,0.211654
il,2020-02-19,0.068871
in,2020-02-19,0.081413
ks,2020-02-19,0.0863
ky,2020-02-19,0.300403
la,2020-02-19,0.056374
ma,2020-02-19,0.090712
md,2020-02-19,0.079605
me,2020-02-19,0.219847
mi,2020-02-19,0.080838
mn,2020-02-19,0.091403
mo,2020-02-19,0.099133
ms,2020-02-19,0.079316
nc,2020-02-19,0.072552
ne,2020-02-19,0.091084
nh,2020-02-19,0.105801
nj,2020-02-19,0.116436
nm,2020-02-19,0.083557
nv,2020-02-19,0.085328
ny,2020-02-19,0.035791
oh,2020-02-19,0.058543
ok,2020-02-19,0.084881
or,2020-02-19,0.089972
pa,2020-02-19,0.127131
ri,2020-02-19,0.098109
sc,2020-02-19,0.070863
tn,2020-02-19,0.184858
tx,2020-02-19,0.020131
ut,2020-02-19,0.092221
va,2020-02-19,0.169601
