geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
ok,2020-05-31,3.94990366,1.164909,0.0,0.083492,0.4769581,0,1.9581771154143996,26.605975765589
ri,2020-05-31,1.63934426,1.498418,0.0,0.20768699999999998,0.5323398,109,2.8912876875667006,34.961581542415
tx,2020-05-31,7.62393162,2.868951,7.07629887,0.22968899999999998,0.4261884,1762,1.8751166190912,31.268856799697996
va,2020-05-31,4.91803279,4.087297,17.04083817,0.307604,0.5187470000000001,996,2.0305717867166,33.478048005935996
al,2020-06-01,30.76923077,5.60733,22.96471424,0.193172,0.5297281999999999,325,4.9781314553441,24.930605789271997
ar,2020-06-01,5.91397849,2.502839,0.0,0.198015,0.7768486,190,5.347150376060201,27.040208752379996
ca,2020-06-01,9.09090909,1.823346,5.0266425,0.274737,0.3627686,2782,4.3732999590511,35.708668071693
ct,2020-06-01,4.66666667,5.047353,21.29979759,0.410612,0.3829268,539,3.997769122084299,33.256959073623
fl,2020-06-01,5.31004989,2.11548,0.0,0.134025,0.418364,667,4.790528807639799,30.600750806371003
ga,2020-06-01,7.72453522,1.7215630000000002,9.83977722,0.24117600000000003,0.4448356,839,4.5881111365428,28.133674697725002
ks,2020-06-01,9.58083832,1.545109,39.38306878,0.099094,0.3737375,220,4.6878181046131,25.564882721521
ky,2020-06-01,4.93745885,1.57724,12.80314697,0.054109000000000004,0.3988203,342,4.4787736373209,25.773506518281003
la,2020-06-01,2.73972603,1.1127129999999998,0.0,0.182666,0.5175527,425,4.8014510412600995,29.373604976754997
ma,2020-06-01,5.78313253,6.894075,22.25321159,0.272698,0.2974748,514,4.2963340110047,35.313170369991994
md,2020-06-01,13.02083333,5.3476,0.0,0.488858,0.7695837,549,4.104170766917299,35.53983686714899
mi,2020-06-01,0.29940120000000003,1.48662,13.86166127,0.141533,0.3757288,217,4.2530945915628005,28.918053107406
mo,2020-06-01,17.5,1.7667950000000001,16.53435825,0.12059,0.5292927,214,4.4540689512903,26.416297294501
ms,2020-06-01,1.5625,2.964697,0.0,0.321867,0.742736,229,4.706557470587501,25.775745720252
nc,2020-06-01,10.60606061,3.754124,21.45665191,0.211071,0.404208,639,4.497216991518799,27.72393286947
nj,2020-06-01,1.98412698,5.588971,12.33236055,0.880022,0.47029160000000003,473,3.7251230258412997,35.983547335765
ny,2020-06-01,3.2729397999999996,4.672656,8.79596031,0.593719,0.4284174,941,4.154951409206201,37.064266399411
ok,2020-06-01,3.79403794,0.985612,0.0,0.09874,0.5525486,155,4.691941571126,23.498513658862
ri,2020-06-01,1.78571429,1.238133,0.0,0.22002399999999997,0.5184937,63,4.562906713324401,32.730700464786
tx,2020-06-01,8.6453003,2.968474,6.10709469,0.23735100000000003,0.4442807,949,3.8139848337067,27.864551532413
va,2020-06-01,8.88888889,3.649239,4.839411900000001,0.313558,0.5859557,791,3.872492761892,31.009758870482003
ar,2020-06-02,8.19672131,2.3077900000000002,0.0,0.182544,0.7541494000000001,375,5.5428157129698,24.432686805958
ca,2020-06-02,9.5890411,2.069277,5.91645766,0.25658800000000004,0.3460237,2482,4.5640448686824,35.308589004752
